Date,Commodity,Total Value
02-Jan-2020,tur,482.88
02-Jan-2020,urad,157.71
02-Jan-2020,wheat,13868.68
03-Jan-2020,apple,3203.17
03-Jan-2020,banana,7171.80
03-Jan-2020,beans (french),88.91
03-Jan-2020,brinjal,1616.18
03-Jan-2020,cabbage,2473.11
03-Jan-2020,carrot,1808.59
03-Jan-2020,cauliflower,3656.47
03-Jan-2020,coconut,65915.60
03-Jan-2020,dhania,529.44
03-Jan-2020,dry chillies,123.10
03-Jan-2020,garlic,1283.82
03-Jan-2020,ginger,1215.27
03-Jan-2020,gourd (bottle),797.62
03-Jan-2020,gram,489.00
03-Jan-2020,green chilli,2564.11
03-Jan-2020,ground nut seed,228.30
03-Jan-2020,groundnut,7807.55
03-Jan-2020,jeera,655.20
03-Jan-2020,ladys finger (bhindi),338.84
03-Jan-2020,lemon,307.12
03-Jan-2020,mango,5.20
03-Jan-2020,masoor,198.28
03-Jan-2020,moong,690.80
03-Jan-2020,mustard,6601.00
03-Jan-2020,onion,29254.19
03-Jan-2020,parwal (pointed gourd),116.54
03-Jan-2020,peas (green),82.83
03-Jan-2020,potato,27596.08
03-Jan-2020,rice,11332.61
03-Jan-2020,safflower,4.00
03-Jan-2020,"sesamum (sesame, gingelly, til)",798.27
03-Jan-2020,soyabean,29841.73
03-Jan-2020,spinach,3370.89
03-Jan-2020,sugar,662.50
03-Jan-2020,sunflower,186.00
03-Jan-2020,tomato,5899.91
03-Jan-2020,turmeric,302.74
03-Jan-2020,tur,840.47
03-Jan-2020,urad,314.70
03-Jan-2020,wheat,18273.50
04-Jan-2020,apple,3240.97
04-Jan-2020,banana,3505.93
04-Jan-2020,beans (french),80.09
04-Jan-2020,brinjal,1589.73
04-Jan-2020,cabbage,2538.21
04-Jan-2020,carrot,2287.52
04-Jan-2020,cauliflower,4190.81
04-Jan-2020,coconut,42317.29
04-Jan-2020,dhania,432.00
04-Jan-2020,dry chillies,1236.80
04-Jan-2020,garlic,1858.22
04-Jan-2020,ginger,1752.71
04-Jan-2020,gourd (bottle),973.89
04-Jan-2020,gram,352.80
04-Jan-2020,green chilli,2756.24
04-Jan-2020,ground nut seed,264.86
04-Jan-2020,groundnut,9081.24
04-Jan-2020,jeera,541.08
04-Jan-2020,ladys finger (bhindi),459.17
04-Jan-2020,lemon,307.94
04-Jan-2020,mango,5.60
04-Jan-2020,masoor,174.10
04-Jan-2020,moong,274.80
04-Jan-2020,mustard,4321.19
04-Jan-2020,onion,30295.51
04-Jan-2020,parwal (pointed gourd),67.68
04-Jan-2020,peas (green),276.92
04-Jan-2020,potato,33154.70
04-Jan-2020,rice,11416.45
04-Jan-2020,safflower,1.00
04-Jan-2020,"sesamum (sesame, gingelly, til)",885.47
04-Jan-2020,soyabean,21905.56
04-Jan-2020,spinach,2878.54
04-Jan-2020,sugar,546.80
04-Jan-2020,sunflower,95.00
04-Jan-2020,tomato,7639.24
04-Jan-2020,turmeric,187.07
04-Jan-2020,tur,543.16
04-Jan-2020,urad,244.49
04-Jan-2020,wheat,18404.57
05-Jan-2020,apple,597.09
05-Jan-2020,banana,1476.38
05-Jan-2020,beans (french),86.17
05-Jan-2020,brinjal,1114.08
05-Jan-2020,cabbage,2223.73
05-Jan-2020,carrot,1299.90
05-Jan-2020,cauliflower,2001.26
05-Jan-2020,coconut,4464.94
05-Jan-2020,dhania,0.20
05-Jan-2020,dry chillies,13.10
05-Jan-2020,garlic,606.69
05-Jan-2020,ginger,383.89
05-Jan-2020,gourd (bottle),463.10
05-Jan-2020,gram,41.80
05-Jan-2020,green chilli,1473.15
05-Jan-2020,ground nut seed,11.10
05-Jan-2020,groundnut,874.96
05-Jan-2020,jeera,2.51
05-Jan-2020,ladys finger (bhindi),297.64
05-Jan-2020,lemon,200.06
05-Jan-2020,mango,4.99
05-Jan-2020,masoor,21.30
05-Jan-2020,moong,12.40
05-Jan-2020,mustard,734.97
05-Jan-2020,onion,8899.01
05-Jan-2020,parwal (pointed gourd),67.25
05-Jan-2020,peas (green),436.00
05-Jan-2020,potato,15149.14
05-Jan-2020,rice,3523.17
05-Jan-2020,safflower,0
05-Jan-2020,"sesamum (sesame, gingelly, til)",207.14
05-Jan-2020,soyabean,2738.53
05-Jan-2020,spinach,5554.18
05-Jan-2020,sugar,25.70
05-Jan-2020,sunflower,6.00
05-Jan-2020,tomato,4509.32
05-Jan-2020,turmeric,61.53
05-Jan-2020,tur,180.20
05-Jan-2020,urad,65.50
05-Jan-2020,wheat,5087.74
06-Jan-2020,apple,2831.21
06-Jan-2020,banana,3314.36
06-Jan-2020,beans (french),168.22
06-Jan-2020,brinjal,1739.41
06-Jan-2020,cabbage,3200.76
06-Jan-2020,carrot,2899.10
06-Jan-2020,cauliflower,5200.02
06-Jan-2020,coconut,62221.24
06-Jan-2020,dhania,463.80
06-Jan-2020,dry chillies,1813.70
06-Jan-2020,garlic,2392.78
06-Jan-2020,ginger,2594.80
06-Jan-2020,gourd (bottle),1164.74
06-Jan-2020,gram,288.40
06-Jan-2020,green chilli,3166.45
06-Jan-2020,ground nut seed,245.68
06-Jan-2020,groundnut,8148.80
06-Jan-2020,jeera,1291.62
06-Jan-2020,ladys finger (bhindi),822.40
06-Jan-2020,lemon,330.89
06-Jan-2020,mango,5.50
06-Jan-2020,masoor,281.10
06-Jan-2020,moong,291.60
06-Jan-2020,mustard,5077.08
06-Jan-2020,onion,39566.26
06-Jan-2020,parwal (pointed gourd),172.19
06-Jan-2020,peas (green),573.70
06-Jan-2020,potato,34129.82
06-Jan-2020,rice,13150.37
06-Jan-2020,safflower,1.00
06-Jan-2020,"sesamum (sesame, gingelly, til)",1249.17
06-Jan-2020,soyabean,24935.51
06-Jan-2020,spinach,4229.75
06-Jan-2020,sugar,570.70
06-Jan-2020,sunflower,110.00
06-Jan-2020,tomato,8138.96
06-Jan-2020,turmeric,820.36
06-Jan-2020,tur,781.45
06-Jan-2020,urad,337.70
06-Jan-2020,wheat,19966.55
07-Jan-2020,apple,3000.59
07-Jan-2020,banana,3176.44
07-Jan-2020,beans (french),130.54
07-Jan-2020,brinjal,2616.67
07-Jan-2020,cabbage,2963.27
07-Jan-2020,carrot,3111.26
07-Jan-2020,cauliflower,4974.38
07-Jan-2020,coconut,36875.28
07-Jan-2020,dhania,541.10
07-Jan-2020,dry chillies,265.30
07-Jan-2020,garlic,3153.40
07-Jan-2020,ginger,2122.62
07-Jan-2020,gourd (bottle),1046.55
07-Jan-2020,gram,441.20
07-Jan-2020,green chilli,2918.56
07-Jan-2020,ground nut seed,360.86
07-Jan-2020,groundnut,6987.33
07-Jan-2020,jeera,1390.34
07-Jan-2020,ladys finger (bhindi),524.60
07-Jan-2020,lemon,700.07
07-Jan-2020,mango,5.40
07-Jan-2020,masoor,168.90
07-Jan-2020,moong,269.60
07-Jan-2020,mustard,4670.65
07-Jan-2020,onion,32634.51
07-Jan-2020,parwal (pointed gourd),91.04
07-Jan-2020,peas (green),439.11
07-Jan-2020,potato,31561.37
07-Jan-2020,rice,15524.73
07-Jan-2020,safflower,1.00
07-Jan-2020,"sesamum (sesame, gingelly, til)",1029.88
07-Jan-2020,soyabean,24513.91
07-Jan-2020,spinach,4097.32
07-Jan-2020,sugar,563.30
07-Jan-2020,sunflower,121.00
07-Jan-2020,tomato,7353.71
07-Jan-2020,turmeric,303.27
07-Jan-2020,tur,880.04
07-Jan-2020,urad,413.69
07-Jan-2020,wheat,20278.76
08-Jan-2020,apple,2210.00
08-Jan-2020,banana,2273.36
08-Jan-2020,beans (french),87.93
08-Jan-2020,brinjal,1556.42
08-Jan-2020,cabbage,2695.62
08-Jan-2020,carrot,2939.62
08-Jan-2020,cauliflower,4732.66
08-Jan-2020,coconut,62839.84
08-Jan-2020,dhania,407.86
08-Jan-2020,dry chillies,386.00
08-Jan-2020,garlic,2616.91
08-Jan-2020,ginger,1204.98
08-Jan-2020,gourd (bottle),727.81
08-Jan-2020,gram,567.75
08-Jan-2020,green chilli,2531.71
08-Jan-2020,ground nut seed,178.18
08-Jan-2020,groundnut,6110.17
08-Jan-2020,jeera,1138.35
08-Jan-2020,ladys finger (bhindi),501.08
08-Jan-2020,lemon,460.74
08-Jan-2020,mango,2.30
08-Jan-2020,masoor,158.20
08-Jan-2020,moong,182.40
08-Jan-2020,mustard,3913.30
08-Jan-2020,onion,39079.52
08-Jan-2020,parwal (pointed gourd),97.48
08-Jan-2020,peas (green),447.50
08-Jan-2020,potato,32608.27
08-Jan-2020,rice,11480.88
08-Jan-2020,safflower,0
08-Jan-2020,"sesamum (sesame, gingelly, til)",1074.87
08-Jan-2020,soyabean,21545.94
08-Jan-2020,spinach,3591.64
08-Jan-2020,sugar,432.00
08-Jan-2020,sunflower,60.00
08-Jan-2020,tomato,7274.31
08-Jan-2020,turmeric,286.62
08-Jan-2020,tur,909.90
08-Jan-2020,urad,269.39
08-Jan-2020,wheat,17746.05
09-Jan-2020,apple,2218.35
09-Jan-2020,banana,2728.82
09-Jan-2020,beans (french),94.82
09-Jan-2020,brinjal,1559.84
09-Jan-2020,cabbage,2882.23
09-Jan-2020,carrot,2573.14
09-Jan-2020,cauliflower,5855.62
09-Jan-2020,coconut,51002.10
09-Jan-2020,dhania,345.47
09-Jan-2020,dry chillies,1550.80
09-Jan-2020,garlic,1720.22
09-Jan-2020,ginger,1559.36
09-Jan-2020,gourd (bottle),958.02
09-Jan-2020,gram,543.93
09-Jan-2020,green chilli,2823.85
09-Jan-2020,ground nut seed,210.14
09-Jan-2020,groundnut,8389.96
09-Jan-2020,jeera,813.19
09-Jan-2020,ladys finger (bhindi),610.91
09-Jan-2020,lemon,608.82
09-Jan-2020,mango,4.00
09-Jan-2020,masoor,202.40
09-Jan-2020,moong,214.40
09-Jan-2020,mustard,3659.32
09-Jan-2020,onion,42029.38
09-Jan-2020,parwal (pointed gourd),77.90
09-Jan-2020,peas (green),127.50
09-Jan-2020,potato,33566.99
09-Jan-2020,rice,11530.85
09-Jan-2020,safflower,0
09-Jan-2020,"sesamum (sesame, gingelly, til)",672.24
09-Jan-2020,soyabean,19922.54
09-Jan-2020,spinach,4546.03
09-Jan-2020,sugar,579.20
09-Jan-2020,sunflower,97.00
09-Jan-2020,tomato,7336.92
09-Jan-2020,turmeric,980.90
09-Jan-2020,tur,865.36
09-Jan-2020,urad,342.39
09-Jan-2020,wheat,17759.82
10-Jan-2020,apple,2634.69
10-Jan-2020,banana,3400.46
10-Jan-2020,beans (french),141.67
10-Jan-2020,brinjal,1510.73
10-Jan-2020,cabbage,2843.83
10-Jan-2020,carrot,2683.53
10-Jan-2020,cauliflower,4562.09
10-Jan-2020,coconut,47380.17
10-Jan-2020,dhania,282.34
10-Jan-2020,dry chillies,172.40
10-Jan-2020,garlic,1473.47
10-Jan-2020,ginger,1489.73
10-Jan-2020,gourd (bottle),1062.69
10-Jan-2020,gram,500.50
10-Jan-2020,green chilli,2354.41
10-Jan-2020,ground nut seed,134.81
10-Jan-2020,groundnut,5315.61
10-Jan-2020,jeera,603.05
10-Jan-2020,ladys finger (bhindi),637.36
10-Jan-2020,lemon,407.49
10-Jan-2020,mango,3.20
10-Jan-2020,masoor,198.00
10-Jan-2020,moong,155.30
10-Jan-2020,mustard,3150.79
10-Jan-2020,onion,41922.05
10-Jan-2020,parwal (pointed gourd),23.24
10-Jan-2020,peas (green),219.18
10-Jan-2020,potato,30384.03
10-Jan-2020,rice,15855.18
10-Jan-2020,safflower,0
10-Jan-2020,"sesamum (sesame, gingelly, til)",718.49
10-Jan-2020,soyabean,20678.33
10-Jan-2020,spinach,3077.40
10-Jan-2020,sugar,877.40
10-Jan-2020,sunflower,199.00
10-Jan-2020,tomato,6646.55
10-Jan-2020,turmeric,389.85
10-Jan-2020,tur,820.34
10-Jan-2020,urad,338.70
10-Jan-2020,wheat,18737.50
11-Jan-2020,apple,2914.95
11-Jan-2020,banana,2257.72
11-Jan-2020,beans (french),124.25
11-Jan-2020,brinjal,1356.80
11-Jan-2020,cabbage,2434.52
11-Jan-2020,carrot,2432.13
11-Jan-2020,cauliflower,4146.10
11-Jan-2020,coconut,15871.78
11-Jan-2020,dhania,277.40
11-Jan-2020,dry chillies,839.40
11-Jan-2020,garlic,899.58
11-Jan-2020,ginger,686.27
11-Jan-2020,gourd (bottle),804.81
11-Jan-2020,gram,274.73
11-Jan-2020,green chilli,2500.63
11-Jan-2020,ground nut seed,173.30
11-Jan-2020,groundnut,7211.63
11-Jan-2020,jeera,579.22
11-Jan-2020,ladys finger (bhindi),511.02
11-Jan-2020,lemon,391.32
11-Jan-2020,mango,2.10
11-Jan-2020,masoor,160.40
11-Jan-2020,moong,93.00
11-Jan-2020,mustard,3705.76
11-Jan-2020,onion,27135.63
11-Jan-2020,parwal (pointed gourd),11.25
11-Jan-2020,peas (green),408.70
11-Jan-2020,potato,32074.46
11-Jan-2020,rice,8786.30
11-Jan-2020,safflower,0
11-Jan-2020,"sesamum (sesame, gingelly, til)",537.48
11-Jan-2020,soyabean,10601.29
11-Jan-2020,spinach,2960.39
11-Jan-2020,sugar,450.00
11-Jan-2020,sunflower,69.00
11-Jan-2020,tomato,5489.24
11-Jan-2020,turmeric,73.53
11-Jan-2020,tur,605.85
11-Jan-2020,urad,206.19
11-Jan-2020,wheat,21968.62
12-Jan-2020,apple,700.61
12-Jan-2020,banana,1435.49
12-Jan-2020,beans (french),81.93
12-Jan-2020,brinjal,929.33
12-Jan-2020,cabbage,1461.73
12-Jan-2020,carrot,1418.71
12-Jan-2020,cauliflower,1606.20
12-Jan-2020,coconut,2533.70
12-Jan-2020,dhania,0.20
12-Jan-2020,dry chillies,22.10
12-Jan-2020,garlic,383.10
12-Jan-2020,ginger,422.32
12-Jan-2020,gourd (bottle),895.42
12-Jan-2020,gram,99.40
12-Jan-2020,green chilli,1336.93
12-Jan-2020,ground nut seed,0
12-Jan-2020,groundnut,1237.75
12-Jan-2020,jeera,2.51
12-Jan-2020,ladys finger (bhindi),285.36
12-Jan-2020,lemon,187.16
12-Jan-2020,mango,3.20
12-Jan-2020,masoor,21.80
12-Jan-2020,moong,17.00
12-Jan-2020,mustard,753.77
12-Jan-2020,onion,8853.99
12-Jan-2020,parwal (pointed gourd),12.79
12-Jan-2020,peas (green),552.40
12-Jan-2020,potato,16880.02
12-Jan-2020,rice,3000.14
12-Jan-2020,safflower,0
12-Jan-2020,"sesamum (sesame, gingelly, til)",96.83
12-Jan-2020,soyabean,1717.22
12-Jan-2020,spinach,4358.30
12-Jan-2020,sugar,30.90
12-Jan-2020,sunflower,8.00
12-Jan-2020,tomato,4665.88
12-Jan-2020,turmeric,49.00
12-Jan-2020,tur,174.01
12-Jan-2020,urad,54.80
12-Jan-2020,wheat,4466.39
13-Jan-2020,apple,2600.27
13-Jan-2020,banana,3161.59
13-Jan-2020,beans (french),137.64
13-Jan-2020,brinjal,1729.80
13-Jan-2020,cabbage,3087.46
13-Jan-2020,carrot,2970.09
13-Jan-2020,cauliflower,6832.28
13-Jan-2020,coconut,66340.46
13-Jan-2020,dhania,304.69
13-Jan-2020,dry chillies,1476.50
13-Jan-2020,garlic,1629.67
13-Jan-2020,ginger,2536.31
13-Jan-2020,gourd (bottle),998.14
13-Jan-2020,gram,465.57
13-Jan-2020,green chilli,3375.86
13-Jan-2020,ground nut seed,177.73
13-Jan-2020,groundnut,4153.03
13-Jan-2020,jeera,860.36
13-Jan-2020,ladys finger (bhindi),801.37
13-Jan-2020,lemon,347.09
13-Jan-2020,mango,3.90
13-Jan-2020,masoor,202.50
13-Jan-2020,moong,337.40
13-Jan-2020,mustard,3865.01
13-Jan-2020,onion,37995.30
13-Jan-2020,parwal (pointed gourd),105.48
13-Jan-2020,peas (green),470.10
13-Jan-2020,potato,39772.37
13-Jan-2020,rice,20645.06
13-Jan-2020,safflower,0
13-Jan-2020,"sesamum (sesame, gingelly, til)",743.71
13-Jan-2020,soyabean,23112.87
13-Jan-2020,spinach,4951.51
13-Jan-2020,sugar,537.20
13-Jan-2020,sunflower,103.10
13-Jan-2020,tomato,8433.88
13-Jan-2020,turmeric,618.38
13-Jan-2020,tur,1209.74
13-Jan-2020,urad,386.76
13-Jan-2020,wheat,18556.40
14-Jan-2020,apple,1587.38
14-Jan-2020,banana,2900.03
14-Jan-2020,beans (french),113.09
14-Jan-2020,brinjal,1237.90
14-Jan-2020,cabbage,2543.25
14-Jan-2020,carrot,3175.95
14-Jan-2020,cauliflower,3393.20
14-Jan-2020,coconut,54939.15
14-Jan-2020,dhania,220.20
14-Jan-2020,dry chillies,157.20
14-Jan-2020,garlic,822.09
14-Jan-2020,ginger,1938.20
14-Jan-2020,gourd (bottle),711.97
14-Jan-2020,gram,356.34
14-Jan-2020,green chilli,2456.59
14-Jan-2020,ground nut seed,677.00
14-Jan-2020,groundnut,1859.13
14-Jan-2020,jeera,19.41
14-Jan-2020,ladys finger (bhindi),400.57
14-Jan-2020,lemon,390.02
14-Jan-2020,mango,3.35
14-Jan-2020,masoor,232.30
14-Jan-2020,moong,428.30
14-Jan-2020,mustard,1877.99
14-Jan-2020,onion,17611.27
14-Jan-2020,parwal (pointed gourd),10.08
14-Jan-2020,peas (green),625.98
14-Jan-2020,potato,30731.96
14-Jan-2020,rice,12667.00
14-Jan-2020,safflower,0
14-Jan-2020,"sesamum (sesame, gingelly, til)",165.86
14-Jan-2020,soyabean,14057.42
14-Jan-2020,spinach,4403.82
14-Jan-2020,sugar,674.85
14-Jan-2020,sunflower,93.00
14-Jan-2020,tomato,7394.75
14-Jan-2020,turmeric,241.12
14-Jan-2020,tur,785.25
14-Jan-2020,urad,428.20
14-Jan-2020,wheat,12731.68
15-Jan-2020,apple,1252.67
15-Jan-2020,banana,2768.97
15-Jan-2020,beans (french),132.63
15-Jan-2020,brinjal,1315.64
15-Jan-2020,cabbage,2620.16
15-Jan-2020,carrot,2728.91
15-Jan-2020,cauliflower,4836.83
15-Jan-2020,coconut,7043.64
15-Jan-2020,dhania,238.90
15-Jan-2020,dry chillies,113.70
15-Jan-2020,garlic,1139.77
15-Jan-2020,ginger,714.62
15-Jan-2020,gourd (bottle),896.30
15-Jan-2020,gram,372.70
15-Jan-2020,green chilli,2649.79
15-Jan-2020,ground nut seed,146.36
15-Jan-2020,groundnut,4405.34
15-Jan-2020,jeera,581.92
15-Jan-2020,ladys finger (bhindi),651.20
15-Jan-2020,lemon,365.69
15-Jan-2020,mango,3.20
15-Jan-2020,masoor,232.10
15-Jan-2020,moong,158.00
15-Jan-2020,mustard,3119.47
15-Jan-2020,onion,17192.09
15-Jan-2020,parwal (pointed gourd),11.76
15-Jan-2020,peas (green),261.87
15-Jan-2020,potato,30102.18
15-Jan-2020,rice,11396.57
15-Jan-2020,safflower,0
15-Jan-2020,"sesamum (sesame, gingelly, til)",436.11
15-Jan-2020,soyabean,4175.78
15-Jan-2020,spinach,4108.50
15-Jan-2020,sugar,4376.80
15-Jan-2020,sunflower,0
15-Jan-2020,tomato,7048.54
15-Jan-2020,turmeric,71.50
15-Jan-2020,tur,713.63
15-Jan-2020,urad,175.22
15-Jan-2020,wheat,9734.99
16-Jan-2020,apple,1635.51
16-Jan-2020,banana,2704.49
16-Jan-2020,beans (french),116.76
16-Jan-2020,brinjal,1804.67
16-Jan-2020,cabbage,2763.90
16-Jan-2020,carrot,2936.11
16-Jan-2020,cauliflower,5310.74
16-Jan-2020,coconut,45660.64
16-Jan-2020,dhania,298.68
16-Jan-2020,dry chillies,1021.10
16-Jan-2020,garlic,1205.45
16-Jan-2020,ginger,1350.61
16-Jan-2020,gourd (bottle),963.80
16-Jan-2020,gram,510.96
16-Jan-2020,green chilli,2689.93
16-Jan-2020,ground nut seed,193.95
16-Jan-2020,groundnut,3535.43
16-Jan-2020,jeera,664.71
16-Jan-2020,ladys finger (bhindi),802.93
16-Jan-2020,lemon,436.46
16-Jan-2020,mango,4.00
16-Jan-2020,masoor,187.00
16-Jan-2020,moong,478.70
16-Jan-2020,mustard,3089.20
16-Jan-2020,onion,19716.02
16-Jan-2020,parwal (pointed gourd),13.93
16-Jan-2020,peas (green),695.70
16-Jan-2020,potato,32804.95
16-Jan-2020,rice,15522.31
16-Jan-2020,safflower,0
16-Jan-2020,"sesamum (sesame, gingelly, til)",429.57
16-Jan-2020,soyabean,12085.44
16-Jan-2020,spinach,4127.97
16-Jan-2020,sugar,624.20
16-Jan-2020,sunflower,57.00
16-Jan-2020,tomato,6995.76
16-Jan-2020,turmeric,259.40
16-Jan-2020,tur,1295.54
16-Jan-2020,urad,324.00
16-Jan-2020,wheat,13416.81
17-Jan-2020,apple,1494.29
17-Jan-2020,banana,3147.39
17-Jan-2020,beans (french),117.08
17-Jan-2020,brinjal,1476.64
17-Jan-2020,cabbage,2943.03
17-Jan-2020,carrot,2945.25
17-Jan-2020,cauliflower,5148.92
17-Jan-2020,coconut,64990.25
17-Jan-2020,dhania,266.68
17-Jan-2020,dry chillies,202.30
17-Jan-2020,garlic,1914.89
17-Jan-2020,ginger,1247.66
17-Jan-2020,gourd (bottle),841.72
17-Jan-2020,gram,387.74
17-Jan-2020,green chilli,2755.31
17-Jan-2020,ground nut seed,173.34
17-Jan-2020,groundnut,5374.16
17-Jan-2020,jeera,941.55
17-Jan-2020,ladys finger (bhindi),675.51
17-Jan-2020,lemon,330.47
17-Jan-2020,mango,3.40
17-Jan-2020,masoor,191.10
17-Jan-2020,moong,245.20
17-Jan-2020,mustard,1960.13
17-Jan-2020,onion,31436.86
17-Jan-2020,parwal (pointed gourd),50.91
17-Jan-2020,peas (green),452.95
17-Jan-2020,potato,31293.46
17-Jan-2020,rice,15187.66
17-Jan-2020,safflower,0
17-Jan-2020,"sesamum (sesame, gingelly, til)",588.17
17-Jan-2020,soyabean,16805.58
17-Jan-2020,spinach,3351.49
17-Jan-2020,sugar,666.80
17-Jan-2020,sunflower,185.50
17-Jan-2020,tomato,7269.31
17-Jan-2020,turmeric,339.70
17-Jan-2020,tur,1076.52
17-Jan-2020,urad,938.01
17-Jan-2020,wheat,15232.75
18-Jan-2020,apple,1427.20
18-Jan-2020,banana,3068.74
18-Jan-2020,beans (french),147.95
18-Jan-2020,brinjal,1505.85
18-Jan-2020,cabbage,2682.96
18-Jan-2020,carrot,2874.44
18-Jan-2020,cauliflower,5629.27
18-Jan-2020,coconut,45924.83
18-Jan-2020,dhania,364.22
18-Jan-2020,dry chillies,1293.90
18-Jan-2020,garlic,2985.68
18-Jan-2020,ginger,1707.08
18-Jan-2020,gourd (bottle),782.95
18-Jan-2020,gram,342.50
18-Jan-2020,green chilli,2784.36
18-Jan-2020,ground nut seed,183.34
18-Jan-2020,groundnut,6360.19
18-Jan-2020,jeera,820.47
18-Jan-2020,ladys finger (bhindi),543.94
18-Jan-2020,lemon,331.03
18-Jan-2020,mango,6.60
18-Jan-2020,masoor,173.09
18-Jan-2020,moong,333.50
18-Jan-2020,mustard,2765.42
18-Jan-2020,onion,31059.63
18-Jan-2020,parwal (pointed gourd),12.23
18-Jan-2020,peas (green),433.98
18-Jan-2020,potato,31163.15
18-Jan-2020,rice,11563.63
18-Jan-2020,safflower,2.00
18-Jan-2020,"sesamum (sesame, gingelly, til)",484.90
18-Jan-2020,soyabean,13511.71
18-Jan-2020,spinach,3179.23
18-Jan-2020,sugar,415.10
18-Jan-2020,sunflower,69.70
18-Jan-2020,tomato,6539.85
18-Jan-2020,turmeric,153.50
18-Jan-2020,tur,933.80
18-Jan-2020,urad,212.72
18-Jan-2020,wheat,16186.83
19-Jan-2020,apple,561.96
19-Jan-2020,banana,1483.87
19-Jan-2020,beans (french),99.92
19-Jan-2020,brinjal,1254.93
19-Jan-2020,cabbage,1891.35
19-Jan-2020,carrot,1618.95
19-Jan-2020,cauliflower,2194.24
19-Jan-2020,coconut,1558.26
19-Jan-2020,dhania,7.10
19-Jan-2020,dry chillies,12.10
19-Jan-2020,garlic,235.42
19-Jan-2020,ginger,438.65
19-Jan-2020,gourd (bottle),491.59
19-Jan-2020,gram,51.35
19-Jan-2020,green chilli,1510.15
19-Jan-2020,ground nut seed,0
19-Jan-2020,groundnut,840.50
19-Jan-2020,jeera,0.50
19-Jan-2020,ladys finger (bhindi),348.76
19-Jan-2020,lemon,174.67
19-Jan-2020,mango,0.10
19-Jan-2020,masoor,45.50
19-Jan-2020,moong,37.00
19-Jan-2020,mustard,1011.27
19-Jan-2020,onion,8080.45
19-Jan-2020,parwal (pointed gourd),12.99
19-Jan-2020,peas (green),244.70
19-Jan-2020,potato,15878.79
19-Jan-2020,rice,5896.14
19-Jan-2020,safflower,0
19-Jan-2020,"sesamum (sesame, gingelly, til)",147.53
19-Jan-2020,soyabean,1628.52
19-Jan-2020,spinach,3517.49
19-Jan-2020,sugar,30.50
19-Jan-2020,sunflower,14.00
19-Jan-2020,tomato,5502.19
19-Jan-2020,turmeric,53.20
19-Jan-2020,tur,199.30
19-Jan-2020,urad,61.65
